airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,alpha_deg,cl_local,cd_local,cm_local,cl_equiv,cd_equiv,cm_equiv,cx_equiv,cl_wing_ref,cd_wing_ref,cm_wing_ref,cx_wing_ref
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-2.0,0.7666667000970785,0.018897768175121257,-0.2390793300855163,0.7666667000970785,0.018897768175121257,-0.2390793300855163,0.007870025806605709,0.7656334363123052,0.018872298985620886,-0.23875711442982922,0.007859419094914482
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-1.7999999999999998,0.8024104465813124,0.018800810861102503,-0.2410532370737496,0.8024104465813124,0.018800810861102503,-0.2410532370737496,0.006412787423471688,0.8012261479697973,0.01877306225153115,-0.2406974602824778,0.0064033226224164165
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-1.5999999999999996,0.8374167330133615,0.019070944860112366,-0.24276264816945217,0.8374167330133615,0.019070944860112366,-0.24276264816945217,0.004318538094725231,0.8360709541413169,0.0190402967088982,-0.2423725140463228,0.00431159794521916
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-1.3999999999999995,0.8702586390823543,0.019529428995015204,-0.2441726603748116,0.8702586390823543,0.019529428995015204,-0.2441726603748116,0.001738714848053026,0.8687486493513292,0.019495543393757225,-0.2437489952789364,0.0017356979959956727
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-1.1999999999999993,0.8996764873378266,0.01993547473642334,-0.24515446900251683,0.8996764873378266,0.01993547473642334,-0.24515446900251683,-0.0010896998003644097,0.8980085610692666,0.019898516004638003,-0.24469997276474797,-0.0010876795864903643
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-1.0,0.925831251100531,0.020173484720381416,-0.24570656644521793,0.925831251100531,0.020173484720381416,-0.24570656644521793,-0.004012428914400883,0.9240140153317513,0.020133887895397135,-0.2452242898309456,-0.00400455325743395
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-0.7999999999999998,0.9498737903660763,0.020265474134365018,-0.2459481166266079,0.9498737903660763,0.020265474134365018,-0.2459481166266079,-0.007001189576678224,0.9479117081908762,0.020223613282982125,-0.24544008027425088,-0.00698672775089366
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-0.5999999999999996,0.9729732847286457,0.020282815100557607,-0.2460039333778181,0.9729732847286457,0.020282815100557607,-0.2460039333778181,-0.01009293679238352,0.9708650089920106,0.020238865520832924,-0.2454708826435403,-0.010071067030813742
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-0.39999999999999947,0.9958580235894599,0.020286207331826914,-0.24596373228251506,0.9958580235894599,0.020286207331826914,-0.24596373228251506,-0.013333368888772476,0.9935979593461224,0.020240168508282228,-0.24540552637030488,-0.013303109283934298
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-0.1999999999999993,1.018848319078681,0.02031189946236473,-0.24588923678182642,1.018848319078681,0.02031189946236473,-0.24588923678182642,-0.016755331388431972,1.0164286371953535,0.02026366035333867,-0.24530526984542883,-0.016715538839285504
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.0,1.0420323119885444,0.02037704541612425,-0.24582205787248157,1.0420323119885444,0.02037704541612425,-0.24582205787248157,-0.02037704541612425,1.0394442700627633,0.020326435999070917,-0.2452115223020042,-0.020326435999070917
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.20000000000000018,1.0653989511085515,0.02048697599039588,-0.24578594326341277,1.0653989511085515,0.02048697599039588,-0.24578594326341277,-0.024205787533192254,1.0626335411481427,0.020433798833234658,-0.245147967324989,-0.024142957617812495
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.40000000000000036,1.0889017477524814,0.02064048954171473,-0.2457896562613413,1.0889017477524814,0.02064048954171473,-0.2457896562613413,-0.028241893087509642,1.0859499890163105,0.020584537987362508,-0.24512337781461518,-0.02816533590058334
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.6000000000000005,1.1124812782413176,0.020833397616389037,-0.24583152930249408,1.1124812782413176,0.020833397616389037,-0.24583152930249408,-0.032481919087087446,1.109334383191133,0.020774465823899742,-0.24513614139990905,-0.03239003692026371
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.8000000000000007,1.1360717381330405,0.021060727565316406,-0.24590357116048941,1.1360717381330405,0.021060727565316406,-0.24590357116048941,-0.036920713136051955,1.1327212479130855,0.020998615500237936,-0.24517835506491148,-0.036811826976733006
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.0,1.1596027836971317,0.02131787013220748,-0.24599401074449692,1.1596027836971317,0.02131787013220748,-0.24599401074449692,-0.04155248240421862,1.1560407030590034,0.021252385663291355,-0.24523836362542503,-0.041424841029845304
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.2000000000000002,1.1829997088832631,0.021601007365828012,-0.24608852694590413,1.1829997088832631,0.021601007365828012,-0.24608852694590413,-0.04637114653327505,1.1792186523243098,0.021531967086301937,-0.2453019885960593,-0.04622293692136285
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.4000000000000004,1.2061828589529822,0.02190713186602635,-0.24617081311713557,1.2061828589529822,0.02190713186602635,-0.24617081311713557,-0.05137026685791515,1.202176214745246,0.02183436173639997,-0.24535309393370625,-0.05119962740583838
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.6000000000000005,1.2290673331393065,0.022233868409319936,-0.24622299667446107,1.2290673331393065,0.022233868409319936,-0.24622299667446107,-0.0565427738012884,1.2248294427722644,0.022157204833441413,-0.24537400651939306,-0.05634781127160643
